anio,grupo,posicion,seleccion,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
1982,E,1,Irlanda del Norte,4,3,1,2,0,2,1,1,True
1982,E,2,España,3,3,1,1,1,3,3,0,True
1982,E,3,Yugoslavia,3,3,1,1,1,2,2,0,False
1982,E,4,Honduras,2,3,0,2,1,2,3,-1,False
1982,F,1,Brasil,6,3,3,0,0,10,2,8,True
1982,F,2,URSS,3,3,1,1,1,6,4,2,True
1982,F,3,Escocia,3,3,1,1,1,8,8,0,False
1982,F,4,Nueva Zelanda,0,3,0,0,3,2,12,-10,False
1982,1,1,Polonia,3,2,1,1,0,3,0,3,True
1982,1,2,URSS,3,2,1,1,0,1,0,1,False
1982,1,3,Bélgica,0,2,0,0,2,0,4,-4,False
1982,2,1,Alemania Occidental,3,2,1,1,0,2,1,1,True
1982,2,2,Inglaterra,2,2,0,2,0,0,0,0,False
1982,2,3,España,1,2,0,1,1,1,2,-1,False
1982,3,1,Italia,4,2,2,0,0,5,3,2,True
1982,3,2,Brasil,2,2,1,0,1,5,4,1,False
1982,3,3,Argentina,0,2,0,0,2,2,5,-3,False
1982,4,1,Francia,4,2,2,0,0,5,1,4,True
1982,4,2,Austria,1,2,0,1,1,2,3,-1,False
1982,4,3,Irlanda del Norte,1,2,0,1,1,3,6,-3,False
1978,A,1,Paises Bajos,5,3,2,1,0,9,4,5,True
1978,A,2,Italia,3,3,1,1,1,2,2,0,True
1978,A,3,Alemania Occidental,2,3,0,2,1,4,5,-1,False
1978,A,4,Austria,2,3,1,0,2,4,8,-4,False
1978,B,1,Argentina,5,3,2,1,0,8,0,8,True
1978,B,2,Brasil,5,3,2,1,0,6,1,5,True
1978,B,3,Polonia,2,3,1,0,2,2,5,-3,False
1978,B,4,Perú,0,3,0,0,3,0,10,-10,False
1978,1,1,Italia,6,3,3,0,0,6,2,4,True
1978,1,2,Argentina,4,3,2,0,1,4,3,1,True
1978,1,3,Francia,2,3,1,0,2,5,5,0,False
1978,1,4,Hungría,0,3,0,0,3,3,8,-5,False
1978,2,1,Polonia,5,3,2,1,0,4,1,3,True
1978,2,2,Alemania Occidental,4,3,1,2,0,6,0,6,True
1978,2,3,Túnez,3,3,1,1,1,3,2,1,False
1978,2,4,México,0,3,0,0,3,2,12,-10,False
1978,3,1,Austria,4,3,2,0,1,3,2,1,True
1978,3,2,Brasil,4,3,1,2,0,2,1,1,True
1978,3,3,España,3,3,1,1,1,2,2,0,False
1978,3,4,Suecia,1,3,0,1,2,1,3,-2,False
1978,4,1,Perú,5,3,2,1,0,7,2,5,True
1978,4,2,Paises Bajos,3,3,1,1,1,5,3,2,True
1978,4,3,Escocia,3,3,1,1,1,5,6,-1,False
1978,4,4,Irán,1,3,0,1,2,2,8,-6,False
1974,A,1,Paises Bajos,6,3,3,0,0,8,0,8,True
1974,A,2,Brasil,4,3,2,0,1,3,3,0,True
1974,A,3,Alemania Oriental,1,3,0,1,2,1,4,-3,False
1974,A,4,Argentina,1,3,0,1,2,2,7,-5,False
1974,B,1,Alemania Occidental,6,3,3,0,0,7,2,5,True
1974,B,2,Polonia,4,3,2,0,1,3,2,1,True
1974,B,3,Suecia,2,3,1,0,2,4,6,-2,False
1974,B,4,Yugoslavia,0,3,0,0,3,2,6,-4,False
1974,1,1,Alemania Oriental,5,3,2,1,0,4,1,3,True
1974,1,2,Alemania Occidental,4,3,2,0,1,4,1,3,True
1974,1,3,Chile,2,3,0,2,1,1,2,-1,False
1974,1,4,Australia,1,3,0,1,2,0,5,-5,False
1974,2,1,Yugoslavia,4,3,1,2,0,10,1,9,True
1974,2,2,Brasil,4,3,1,2,0,3,0,3,True
1974,2,3,Escocia,4,3,1,2,0,3,1,2,False
1974,2,4,Zaire,0,3,0,0,3,0,14,-14,False
1974,3,1,Paises Bajos,5,3,2,1,0,6,1,5,True
1974,3,2,Suecia,4,3,1,2,0,3,0,3,True
1974,3,3,Bulgaria,2,3,0,2,1,2,5,-3,False
1974,3,4,Uruguay,1,3,0,1,2,1,6,-5,False
1974,4,1,Polonia,6,3,3,0,0,12,3,9,True
1974,4,2,Argentina,3,3,1,1,1,7,5,2,True
1974,4,3,Italia,3,3,1,1,1,5,4,1,False
1974,4,4,Haití,0,3,0,0,3,2,14,-12,False
1970,1,1,URSS,5,3,2,1,0,6,1,5,True
